CATEGORY,COUNT,SAMPLE_CONTEXT,RESOLUTION_PRIORITY
DATE|DEADLINE|YEAR|MONTH,0,"......",CRITICAL
DEFENDANT|PLAINTIFF|ENTITY,0,"......",MEDIUM
EXHIBIT|ATTACHMENT|FILE,0,"......",CRITICAL
DOLLAR|DAMAGE|STATUTORY,0,"......",HIGH
GENERAL|TBD|DRAFT|PLACEHOLDER,0,"......",MEDIUM
